,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
399,307,Trey Lyles,PF,28,SAC,49,0,19.8,2.4,5.3,.450,1.4,3.7,.383,1.0,1.7,.598,.582,0.9,1.3,.698,1.0,3.4,4.4,1.1,0.3,0.3,0.6,1.6,7.1,2024
400,308,Théo Maledon,PG,22,TOT,17,1,12.5,1.2,4.1,.286,0.3,1.8,.167,0.9,2.4,.375,.321,0.8,0.9,.933,0.2,1.2,1.4,1.6,0.4,0.0,1.1,1.2,3.5,2024
401,308,Théo Maledon,PG,22,CHO,13,1,15.4,1.5,5.1,.288,0.4,2.3,.167,1.1,2.8,.389,.326,0.8,0.9,.917,0.3,1.5,1.8,2.2,0.5,0.0,1.2,1.4,4.2,2024
402,308,Théo Maledon,PG,22,PHO,4,0,3.3,0.3,1.0,.250,0.0,0.0,,0.3,1.0,.250,.250,0.8,0.8,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.8,0.8,1.3,2024
403,309,Sandro Mamukelashvili,C,24,SAS,38,0,6.4,1.0,2.2,.470,0.2,1.0,.243,0.8,1.2,.652,.524,0.3,0.4,.706,0.7,1.1,1.8,0.8,0.2,0.2,0.2,0.6,2.6,2024
404,310,Terance Mann,SG,27,LAC,66,62,25.3,3.2,6.6,.488,1.0,2.9,.344,2.2,3.7,.600,.563,1.0,1.2,.827,1.2,2.2,3.3,1.6,0.6,0.2,0.6,1.9,8.4,2024
405,311,Tre Mann,PG,22,TOT,32,19,22.2,3.3,7.3,.461,1.1,2.9,.372,2.3,4.3,.522,.537,0.8,1.2,.730,0.5,3.1,3.6,3.6,1.0,0.0,1.3,1.1,8.6,2024
406,311,Tre Mann,PG,22,OKC,13,0,9.2,1.5,3.1,.500,0.6,1.5,.421,0.9,1.6,.571,.600,0.1,0.1,1.000,0.3,1.5,1.8,1.5,0.2,0.0,0.7,0.2,3.8,2024
407,311,Tre Mann,PG,22,CHO,19,19,31.1,4.6,10.1,.453,1.4,3.9,.360,3.2,6.2,.513,.523,1.4,1.9,.722,0.7,4.2,4.8,5.1,1.5,0.1,1.7,1.7,11.9,2024
408,312,Boban Marjanović,C,35,HOU,12,0,4.6,0.9,2.0,.458,0.0,0.2,.000,0.9,1.8,.500,.458,0.5,0.8,.667,0.5,1.4,1.9,0.3,0.0,0.1,0.2,0.4,2.3,2024
409,313,Lauri Markkanen,PF,26,UTA,55,55,33.1,7.8,16.2,.480,3.2,8.0,.399,4.6,8.2,.559,.578,4.5,5.0,.899,2.2,5.9,8.2,2.0,0.9,0.5,1.4,1.8,23.2,2024
410,314,Naji Marshall,SF,26,NOP,61,1,19.3,2.7,5.8,.460,0.9,2.4,.381,1.7,3.4,.517,.540,1.1,1.3,.793,0.9,2.9,3.7,2.0,0.8,0.2,1.0,1.4,7.3,2024
411,315,Caleb Martin,SF,28,MIA,56,19,27.1,3.8,8.7,.437,1.3,3.6,.362,2.5,5.1,.490,.511,1.3,1.6,.787,1.2,3.4,4.6,2.1,0.8,0.4,1.2,2.0,10.1,2024
412,316,Cody Martin,SF,28,CHO,28,22,26.9,2.9,7.7,.381,1.0,3.1,.314,2.0,4.6,.426,.444,0.7,1.2,.606,0.7,3.2,3.9,3.7,1.1,0.6,1.6,1.7,7.5,2024
413,317,KJ Martin,SF,23,TOT,55,2,11.9,1.5,2.9,.528,0.1,0.5,.286,1.4,2.4,.580,.553,0.4,0.7,.537,0.6,1.5,2.1,0.8,0.4,0.2,0.5,1.7,3.6,2024
414,317,KJ Martin,SF,23,LAC,2,0,15.5,2.0,5.0,.400,0.5,2.5,.200,1.5,2.5,.600,.450,0.5,1.0,.500,0.5,1.0,1.5,0.5,1.0,0.5,1.0,1.5,5.0,2024
415,317,KJ Martin,SF,23,PHI,53,2,11.8,1.5,2.8,.537,0.1,0.4,.304,1.4,2.4,.579,.560,0.4,0.7,.538,0.6,1.5,2.1,0.8,0.4,0.2,0.5,1.7,3.5,2024
416,318,Garrison Mathews,SG,27,ATL,57,4,14.2,1.4,3.0,.459,1.2,2.6,.452,0.2,0.4,.500,.653,0.5,0.6,.811,0.2,1.1,1.4,0.5,0.3,0.1,0.3,1.8,4.4,2024
417,319,Bennedict Mathurin,SF,21,IND,59,19,26.1,5.0,11.2,.446,1.4,3.6,.374,3.7,7.6,.481,.507,3.1,3.8,.821,1.0,2.9,4.0,2.0,0.6,0.2,1.6,2.0,14.5,2024
418,320,Wesley Matthews,SG,37,ATL,32,3,11.8,0.9,2.6,.345,0.7,2.0,.365,0.2,0.7,.286,.482,0.5,0.7,.727,0.3,1.3,1.6,0.7,0.4,0.3,0.3,1.2,3.0,2024
419,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
420,321,Tyrese Maxey,PG,23,PHI,65,65,37.5,9.0,20.1,.445,3.0,8.1,.374,5.9,12.0,.493,.520,4.7,5.4,.864,0.5,3.2,3.7,6.2,1.0,0.5,1.7,2.1,25.6,2024
421,322,Skylar Mays,PG-SG,26,TOT,35,5,12.2,1.8,4.5,.399,0.5,1.5,.296,1.3,3.0,.452,.449,0.4,0.5,.765,0.3,0.9,1.2,2.4,0.6,0.1,0.6,0.7,4.4,2024
422,322,Skylar Mays,PG,26,POR,21,5,17.0,2.5,6.6,.384,0.7,2.3,.286,1.9,4.2,.438,.435,0.6,0.8,.765,0.4,1.3,1.8,3.6,0.7,0.1,0.9,1.0,6.3,2024
423,322,Skylar Mays,SG,26,LAL,14,0,5.1,0.7,1.4,.500,0.1,0.4,.400,0.6,1.1,.533,.550,0.0,0.0,,0.1,0.4,0.4,0.6,0.4,0.1,0.1,0.4,1.6,2024
424,323,Miles McBride,PG,23,NYK,60,11,18.0,2.8,6.2,.456,1.5,3.6,.419,1.3,2.6,.506,.576,0.6,0.7,.850,0.4,0.9,1.3,1.6,0.7,0.1,0.4,1.5,7.7,2024
425,324,CJ McCollum,PG,32,NOP,57,57,31.8,6.9,15.1,.455,3.4,8.1,.415,3.5,7.1,.501,.566,1.7,2.1,.805,0.5,3.7,4.2,4.5,0.9,0.6,1.6,1.9,18.8,2024
426,325,T.J. McConnell,PG,31,IND,64,4,18.0,4.4,8.0,.549,0.2,0.6,.378,4.2,7.4,.562,.563,0.7,0.9,.783,0.5,2.2,2.7,5.3,1.0,0.1,1.5,1.0,9.7,2024
427,326,Jaden McDaniels,SF,23,MIN,63,62,29.3,4.4,8.9,.495,1.3,3.6,.351,3.1,5.3,.592,.565,0.8,1.1,.714,0.8,2.3,3.1,1.3,0.9,0.6,1.2,3.1,10.8,2024
428,327,Jalen McDaniels,SF,26,TOR,42,0,9.7,1.2,3.4,.347,0.3,1.5,.172,0.9,1.9,.488,.385,0.4,0.6,.667,0.3,1.1,1.4,0.6,0.4,0.1,0.6,1.0,3.0,2024
429,328,Doug McDermott,SF,32,TOT,58,0,14.3,1.9,4.5,.432,1.5,3.6,.411,0.4,0.9,.520,.598,0.2,0.3,.579,0.2,0.8,1.0,1.2,0.2,0.0,0.5,1.0,5.5,2024
430,328,Doug McDermott,SF,32,SAS,46,0,15.2,2.1,4.7,.442,1.7,3.8,.439,0.4,0.9,.452,.619,0.2,0.4,.588,0.2,0.9,1.0,1.2,0.2,0.0,0.5,1.0,6.0,2024
431,328,Doug McDermott,SF,32,IND,12,0,11.0,1.4,3.7,.386,0.8,3.0,.278,0.6,0.7,.875,.500,0.1,0.2,.500,0.1,0.6,0.7,0.8,0.3,0.0,0.3,0.9,3.8,2024
432,329,JaVale McGee,C,36,SAC,43,0,7.6,1.7,2.9,.605,0.0,0.1,.200,1.7,2.8,.622,.609,0.6,1.0,.581,0.9,1.8,2.7,0.3,0.3,0.5,0.7,1.0,4.1,2024
433,330,Bryce McGowens,SG,21,CHO,52,13,15.3,1.7,3.8,.452,0.6,1.7,.333,1.1,2.1,.551,.528,1.0,1.4,.761,0.3,1.5,1.8,0.9,0.4,0.1,0.5,1.3,5.0,2024
434,331,Jordan McLaughlin,PG,27,MIN,47,0,10.5,1.2,2.5,.479,0.8,1.6,.500,0.4,1.0,.444,.634,0.2,0.3,.667,0.3,1.0,1.3,1.8,0.6,0.1,0.3,0.6,3.4,2024
435,332,De'Anthony Melton,SG,25,PHI,36,33,27.8,3.8,9.7,.391,2.1,5.8,.362,1.7,3.9,.433,.499,1.8,2.2,.835,0.8,3.1,3.8,3.1,1.6,0.4,1.1,2.3,11.5,2024
436,333,Nathan Mensah,C,25,CHO,25,0,12.3,0.5,1.1,.429,0.0,0.0,,0.5,1.1,.429,.429,0.4,0.5,.750,1.2,1.4,2.6,0.4,0.2,0.6,0.6,2.6,1.3,2024
437,334,Sam Merrill,SG,27,CLE,56,1,17.8,2.7,6.6,.410,2.4,5.9,.410,0.3,0.6,.417,.595,0.4,0.5,.923,0.4,1.7,2.0,1.8,0.3,0.1,0.3,1.2,8.3,2024
438,335,Chimezie Metu,C,26,TOT,43,7,14.0,1.9,4.0,.488,0.4,1.5,.246,1.6,2.4,.638,.535,1.1,1.3,.891,0.7,2.5,3.2,0.7,0.6,0.3,0.8,1.3,5.4,2024
439,335,Chimezie Metu,C,26,PHO,37,5,12.1,1.8,3.5,.508,0.4,1.4,.294,1.4,2.1,.646,.565,1.0,1.2,.884,0.6,2.3,3.0,0.5,0.5,0.2,0.7,1.1,5.0,2024
440,335,Chimezie Metu,C,26,DET,6,2,26.0,2.8,6.7,.425,0.2,2.3,.071,2.7,4.3,.615,.438,1.8,2.0,.917,0.8,3.7,4.5,2.2,1.3,0.7,1.5,3.0,7.7,2024
441,336,Vasilije Micić,PG,30,TOT,52,13,18.5,2.6,5.8,.447,0.6,2.3,.277,1.9,3.5,.558,.502,1.0,1.2,.823,0.2,1.1,1.3,3.9,0.5,0.1,1.6,1.0,6.8,2024
442,336,Vasilije Micić,PG,30,OKC,30,0,12.0,1.2,3.0,.407,0.4,1.5,.244,0.9,1.5,.565,.467,0.5,0.6,.737,0.0,0.8,0.8,2.5,0.3,0.1,1.0,0.7,3.3,2024
443,336,Vasilije Micić,PG,30,CHO,22,13,27.4,4.4,9.5,.464,1.0,3.4,.297,3.4,6.1,.556,.517,1.7,2.0,.860,0.5,1.6,2.0,5.9,0.8,0.1,2.5,1.5,11.5,2024
444,337,Khris Middleton,SF,32,MIL,48,48,26.8,5.6,11.7,.481,1.7,4.6,.370,3.9,7.1,.553,.553,1.9,2.2,.840,0.7,3.8,4.5,5.3,0.9,0.3,2.2,2.6,14.8,2024
445,338,Brandon Miller,SF,21,CHO,66,60,32.1,6.3,14.6,.435,2.4,6.5,.371,3.9,8.1,.487,.518,1.8,2.2,.814,0.8,3.4,4.3,2.4,0.9,0.5,1.7,2.5,16.9,2024
446,339,Jordan Miller,SF,24,LAC,8,0,3.5,0.6,1.1,.556,0.1,0.3,.500,0.5,0.9,.571,.611,0.3,0.3,1.000,0.4,0.3,0.6,0.0,0.0,0.0,0.1,0.3,1.6,2024
447,340,Leonard Miller,SF,20,MIN,11,0,3.0,0.6,1.0,.636,0.1,0.3,.333,0.5,0.7,.750,.682,0.0,0.0,,0.2,0.9,1.1,0.5,0.1,0.1,0.1,0.4,1.4,2024
448,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
449,341,Dariq Whitehead,SF,19,BRK,2,0,12.0,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,0.5,1.0,.500,0.0,2.0,2.0,1.5,0.0,0.5,0.0,0.0,1.5,2024
450,342,Patty Mills,PG,35,TOT,30,5,13.2,1.5,4.1,.355,0.8,2.7,.284,0.7,1.4,.488,.448,0.3,0.3,1.000,0.3,0.8,1.1,1.1,0.7,0.0,0.5,1.0,4.0,2024
451,342,Patty Mills,PG,35,ATL,19,0,10.6,1.0,2.7,.373,0.7,1.8,.382,0.3,0.9,.353,.500,0.0,0.0,,0.3,0.8,1.1,0.7,0.5,0.1,0.4,0.9,2.7,2024
452,342,Patty Mills,PG,35,MIA,11,5,17.6,2.3,6.6,.342,0.9,4.3,.213,1.4,2.4,.577,.411,0.8,0.8,1.000,0.4,0.9,1.3,1.7,1.0,0.0,0.7,1.2,6.3,2024
453,343,Shake Milton,SG,27,TOT,47,0,12.4,1.7,4.1,.405,0.4,1.4,.281,1.3,2.8,.466,.451,0.9,1.0,.816,0.3,1.3,1.6,1.3,0.4,0.1,0.7,1.1,4.6,2024
454,343,Shake Milton,SG,27,MIN,38,0,12.9,1.7,4.2,.400,0.4,1.4,.264,1.3,2.8,.467,.444,0.9,1.2,.818,0.2,1.2,1.3,1.3,0.4,0.1,0.7,1.2,4.7,2024
455,343,Shake Milton,SG,27,DET,4,0,15.8,2.8,6.5,.423,0.8,2.3,.333,2.0,4.3,.471,.481,0.5,0.8,.667,1.8,2.8,4.5,1.5,0.5,0.3,0.8,0.8,6.8,2024
456,343,Shake Milton,SG,27,NYK,5,0,5.4,0.8,1.8,.444,0.2,0.4,.500,0.6,1.4,.429,.500,0.4,0.4,1.000,0.0,1.2,1.2,0.8,0.2,0.0,0.0,1.4,2.2,2024
457,344,Justin Minaya,SF,24,POR,28,0,7.7,0.4,1.5,.293,0.2,0.9,.231,0.2,0.5,.400,.366,0.1,0.3,.500,0.5,0.6,1.1,0.3,0.2,0.3,0.3,0.6,1.2,2024
458,345,Josh Minott,SF,21,MIN,26,0,2.7,0.5,1.0,.444,0.1,0.3,.250,0.4,0.7,.526,.481,0.5,0.5,.857,0.1,0.4,0.5,0.2,0.2,0.2,0.1,0.3,1.5,2024
459,346,Davion Mitchell,PG,25,SAC,63,4,14.1,1.8,3.9,.462,0.7,1.9,.344,1.1,2.0,.576,.547,0.4,0.5,.742,0.2,0.9,1.1,1.7,0.2,0.0,0.6,1.2,4.7,2024
460,347,Donovan Mitchell,SG,27,CLE,50,50,35.3,9.3,20.1,.466,3.3,9.0,.369,6.0,11.0,.544,.549,5.1,5.9,.863,0.9,4.4,5.3,6.1,1.8,0.5,2.8,2.2,27.1,2024
461,348,Evan Mobley,PF,22,CLE,42,42,30.7,6.4,11.0,.582,0.4,1.0,.372,6.0,10.0,.604,.600,2.4,3.4,.701,2.3,7.6,9.9,3.2,0.9,1.5,1.9,2.8,15.6,2024
462,349,Isaiah Mobley,PF,24,CLE,6,0,8.5,0.8,2.2,.385,0.3,1.2,.286,0.5,1.0,.500,.462,0.0,0.0,,0.0,1.0,1.0,1.0,0.2,0.0,0.2,0.8,2.0,2024
463,350,Malik Monk,SG,25,SAC,72,0,26.0,5.5,12.4,.443,2.1,5.9,.350,3.4,6.5,.528,.526,2.4,2.8,.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,15.4,2024
464,351,Moses Moody,SG,21,GSW,57,8,17.2,3.0,6.4,.464,1.0,3.0,.341,1.9,3.4,.576,.545,1.1,1.4,.795,1.1,1.9,3.0,0.8,0.7,0.4,0.7,1.3,8.1,2024
465,352,Xavier Moon,SG,29,LAC,9,0,4.1,0.6,1.6,.357,0.0,0.6,.000,0.6,1.0,.556,.357,0.1,0.2,.500,0.2,0.3,0.6,0.8,0.1,0.1,0.4,0.4,1.2,2024
466,353,Taze Moore,SG,25,POR,3,0,3.3,1.0,1.7,.600,0.0,0.7,.000,1.0,1.0,1.000,.600,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.7,2.0,2024
467,354,Wendell Moore Jr.,SG,22,MIN,19,0,2.8,0.3,0.6,.455,0.0,0.2,.000,0.3,0.4,.714,.455,0.0,0.0,,0.0,0.4,0.4,0.1,0.3,0.1,0.2,0.2,0.5,2024
468,355,Ja Morant,PG,24,MEM,9,9,35.3,8.9,18.9,.471,1.6,5.7,.275,7.3,13.2,.555,.512,5.8,7.1,.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,25.1,2024
469,356,Marcus Morris,PF,34,TOT,43,7,17.3,2.4,5.6,.439,1.0,2.5,.407,1.4,3.0,.466,.531,0.8,1.0,.833,0.5,2.5,3.0,0.8,0.3,0.3,0.6,1.6,6.7,2024
470,356,Marcus Morris,PF,34,PHI,37,7,17.2,2.4,5.5,.439,1.0,2.4,.400,1.5,3.1,.470,.527,0.8,1.0,.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6,6.7,2024
471,356,Marcus Morris,PF,34,CLE,6,0,18.0,2.5,5.7,.441,1.3,3.0,.444,1.2,2.7,.438,.559,0.7,1.0,.667,0.5,2.8,3.3,1.2,0.2,0.2,1.0,1.0,7.0,2024
472,357,Markieff Morris,PF,34,DAL,21,1,8.1,1.0,2.5,.377,0.6,1.6,.394,0.3,1.0,.350,.500,0.1,0.2,.750,0.2,1.3,1.5,0.6,0.2,0.0,0.5,0.5,2.7,2024
473,358,Monte Morris,PG,28,TOT,24,0,14.5,1.9,4.9,.393,0.7,2.0,.347,1.2,2.8,.426,.466,0.3,0.5,.615,0.3,1.3,1.5,2.2,0.6,0.2,0.3,0.4,4.9,2024
474,358,Monte Morris,PG,28,DET,6,0,11.3,2.0,5.5,.364,0.3,1.8,.182,1.7,3.7,.455,.394,0.2,0.3,.500,0.3,1.7,2.0,1.3,0.2,0.2,0.3,0.2,4.5,2024
475,358,Monte Morris,PG,28,MIN,18,0,15.6,1.9,4.7,.405,0.8,2.1,.395,1.1,2.6,.413,.494,0.4,0.6,.636,0.2,1.2,1.4,2.5,0.7,0.2,0.2,0.4,5.0,2024
476,359,Trey Murphy III,SF,23,NOP,48,15,28.2,4.6,10.7,.435,2.8,7.7,.370,1.8,3.0,.600,.567,1.9,2.4,.786,0.7,4.0,4.6,2.1,0.8,0.5,0.5,1.2,14.0,2024
477,360,Dejounte Murray,SG,27,ATL,70,70,35.6,8.7,18.7,.464,2.6,7.0,.366,6.1,11.7,.523,.533,2.8,3.4,.804,0.7,4.5,5.3,6.2,1.5,0.3,2.4,1.7,22.7,2024
478,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
479,361,Jamal Murray,PG,26,DEN,54,54,32.1,7.9,16.7,.475,2.4,5.6,.419,5.6,11.1,.503,.545,2.7,3.2,.855,0.7,3.4,4.1,6.7,1.0,0.6,2.1,1.8,20.9,2024
480,362,Keegan Murray,SF,23,SAC,68,68,33.2,5.6,12.2,.461,2.2,6.2,.359,3.4,6.0,.566,.552,1.4,1.7,.817,1.3,4.1,5.4,1.6,1.0,0.7,0.9,2.8,14.9,2024
481,363,Kris Murray,SF,23,POR,54,21,19.7,2.1,5.3,.404,0.7,2.6,.270,1.4,2.7,.535,.470,0.5,0.8,.610,1.1,2.1,3.1,1.3,0.9,0.3,0.8,1.3,5.4,2024
482,364,Mike Muscala,C,32,TOT,46,6,11.8,1.1,3.2,.356,0.6,2.0,.301,0.5,1.2,.453,.452,0.4,0.5,.708,0.7,1.7,2.4,0.7,0.2,0.3,0.4,1.0,3.2,2024
483,364,Mike Muscala,C,32,WAS,24,2,14.1,1.4,3.8,.367,0.6,2.1,.275,0.8,1.6,.487,.444,0.6,0.8,.750,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4.0,2024
484,364,Mike Muscala,C,32,DET,13,4,13.2,1.2,3.4,.341,1.0,2.6,.382,0.2,0.8,.200,.489,0.2,0.3,.500,0.8,1.5,2.2,0.8,0.2,0.4,0.2,1.0,3.5,2024
485,364,Mike Muscala,C,32,OKC,9,0,3.9,0.4,1.3,.333,0.1,0.9,.125,0.3,0.4,.750,.375,0.0,0.0,,0.2,0.7,0.9,0.2,0.1,0.0,0.1,0.3,1.0,2024
486,365,Svi Mykhailiuk,SF,26,BOS,33,0,8.9,1.1,2.9,.371,0.8,2.4,.350,0.2,0.5,.471,.515,0.1,0.2,.571,0.2,0.8,1.1,0.7,0.3,0.0,0.3,0.4,3.2,2024
487,366,Larry Nance Jr.,C,31,NOP,54,0,19.6,2.2,3.8,.593,0.4,1.0,.426,1.8,2.8,.653,.650,0.7,1.0,.736,1.5,3.6,5.1,1.7,1.0,0.3,0.8,1.5,5.6,2024
488,367,Pete Nance,PF,23,CLE,4,0,2.8,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3,0.0,2024
489,368,Andrew Nembhard,PG,24,IND,61,40,24.7,3.9,7.8,.500,0.9,2.5,.362,3.0,5.3,.564,.558,0.6,0.8,.787,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.3,2024
490,369,Aaron Nesmith,SF,24,IND,65,40,27.6,4.4,8.9,.491,2.0,4.8,.430,2.3,4.1,.561,.606,1.4,1.9,.754,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,2024
