,Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
334,Derrick Jones Jr.,SF,26,DAL,68,58,23.4,3.2,6.5,.495,1.1,3.1,.350,2.1,3.3,.633,.581,1.3,1.8,.713,1.1,2.3,3.3,1.0,0.7,0.6,0.8,1.6,8.8,2024,12.1,.606,.486,.277,5.0,10.6,7.8,5.4,1.4,2.3,10.4,14.9,1.5,1.3,2.9,.087,-0.9,-0.4,-1.3,0.3
556,Derrick Rose,PG,35,MEM,24,7,16.6,3.2,6.9,.461,0.6,1.7,.366,2.5,5.2,.492,.506,1.0,1.1,.889,0.3,1.6,1.9,3.3,0.3,0.1,1.3,0.9,8.0,2024,13.1,.540,.248,.164,1.9,10.8,6.2,32.5,1.0,0.5,14.9,22.4,0.1,0.3,0.4,.045,-1.4,-1.4,-2.8,-0.1
679,Derrick White,SG,29,BOS,67,67,32.7,5.4,11.7,.465,2.7,6.7,.400,2.7,4.9,.555,.581,1.9,2.2,.897,0.7,3.6,4.3,5.2,1.0,1.3,1.6,2.1,15.5,2024,17.3,.614,.578,.185,2.4,11.5,7.1,21.5,1.6,3.4,11.1,18.9,4.8,3.1,7.9,.174,2.6,1.5,4.1,3.4
32,Desmond Bane,SG,25,MEM,42,42,34.4,8.6,18.5,.464,3.3,8.6,.381,5.3,9.9,.536,.552,3.3,3.8,.870,0.9,3.5,4.4,5.5,1.0,0.5,2.7,2.9,23.7,2024,18.4,.589,.464,.207,2.6,11.8,7.0,29.3,1.5,1.4,11.7,28.6,1.7,1.3,3.0,.099,3.0,-0.3,2.7,1.7
78,Devin Booker,PG,27,PHO,60,60,35.7,9.5,19.4,.492,2.1,5.9,.362,7.4,13.5,.549,.547,5.8,6.6,.881,0.8,4.0,4.8,6.9,0.9,0.4,2.5,3.1,27.0,2024,22.0,.606,.305,.340,2.7,11.8,7.5,31.2,1.2,1.1,10.2,30.0,6.2,1.7,7.9,.177,3.9,-1.1,2.8,2.6
648,Devin Vassell,SG,23,SAS,68,62,33.1,7.3,15.5,.472,2.4,6.6,.372,4.9,9.0,.544,.550,2.4,3.0,.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1,19.5,2024,15.7,.578,.422,.190,1.3,11.5,6.3,19.0,1.5,0.9,8.6,23.5,2.0,1.4,3.4,.073,0.9,-1.0,-0.1,1.1
239,Devonte' Graham,PG,28,SAS,15,0,8.3,1.1,2.7,.390,0.7,2.0,.333,0.4,0.7,.545,.512,0.5,0.6,.778,0.1,1.2,1.3,1.4,0.3,0.1,0.3,0.4,3.3,2024,13.7,.545,.732,.220,1.7,16.0,8.8,22.9,1.9,0.7,8.2,16.7,0.1,0.1,0.3,.097,-1.0,0.2,-0.7,0.0
153,Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,2024,18.2,.541,.421,.158,3.7,29.1,16.4,23.4,0.0,2.9,12.9,33.3,0.0,0.0,0.0,.000,1.9,-0.1,1.8,0.0
91,Dillon Brooks,SF,28,HOU,64,64,30.9,4.6,10.7,.434,1.8,5.1,.362,2.8,5.6,.500,.520,1.7,2.1,.841,0.7,2.7,3.5,1.7,0.9,0.1,1.3,3.3,12.9,2024,9.7,.555,.477,.193,2.5,9.4,6.0,7.7,1.4,0.4,9.8,17.7,0.6,2.1,2.7,.064,-3.1,0.0,-3.2,-0.6
590,Dmytro Skapintsev,C,25,NYK,2,0,1.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,-19.3,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,-0.476,-16.1,-9.8,-25.9,0.0
563,Domantas Sabonis,C,27,SAC,73,73,35.8,7.8,13.0,.603,0.4,1.1,.403,7.4,12.0,.621,.619,3.5,5.0,.706,3.5,10.2,13.6,8.3,0.9,0.6,3.3,3.1,19.6,2024,23.4,.646,.081,.383,10.6,32.7,21.4,34.1,1.2,1.5,17.8,22.0,7.9,3.4,11.3,.207,4.2,2.4,6.6,5.6
36,Dominick Barlow,PF,20,SAS,33,1,12.7,1.7,3.4,.496,0.1,0.3,.333,1.6,3.2,.510,.509,0.9,1.3,.690,1.4,2.1,3.4,1.1,0.4,0.4,0.3,1.4,4.4,2024,14.6,.548,.080,.372,11.5,17.8,14.6,11.7,1.4,2.8,6.4,14.1,0.7,0.4,1.1,.122,-1.7,-0.1,-1.8,0.0
444,Donovan Mitchell,SG,27,CLE,50,50,35.3,9.3,20.1,.466,3.3,9.0,.369,6.0,11.0,.544,.549,5.1,5.9,.863,0.9,4.4,5.3,6.1,1.8,0.5,2.8,2.2,27.1,2024,22.5,.598,.451,.292,2.8,13.8,8.4,28.9,2.5,1.3,11.1,31.9,3.4,2.7,6.1,.166,4.8,1.3,6.1,3.6
165,Donte DiVincenzo,SG,27,NYK,72,54,27.8,5.3,12.0,.443,3.4,8.5,.402,1.9,3.5,.539,.585,1.0,1.3,.729,0.8,2.8,3.6,2.6,1.3,0.4,1.3,2.0,15.0,2024,16.3,.596,.706,.111,3.2,11.2,7.2,14.1,2.4,1.4,9.5,21.5,3.2,2.7,5.9,.142,2.6,1.1,3.7,2.9
