,Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
96,Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,.455,0.2,0.5,.333,0.7,1.3,.500,.500,0.7,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5,2024,10.4,.501,.273,.818,8.3,16.4,12.3,12.9,0.0,8.8,21.1,20.3,0.0,0.0,0.0,-0.003,-4.9,0.6,-4.3,0.0
567,Gui Santos,PF,21,GSW,20,0,7.9,1.1,2.2,.500,0.5,1.1,.409,0.7,1.1,.591,.602,0.7,0.8,.933,0.8,1.5,2.2,0.6,0.2,0.1,0.4,1.0,3.4,2024,15.5,.662,.500,.341,10.3,19.6,15.0,9.1,0.9,1.1,12.2,15.3,0.4,0.2,0.5,.164,0.3,-0.2,0.0,0.1
159,Hamidou Diallo,SG,25,WAS,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,2024,33.2,.500,.000,.000,41.7,0.0,21.4,29.0,18.7,0.0,33.3,25.3,0.0,0.0,0.0,.200,2.6,16.1,18.7,0.0
37,Harrison Barnes,PF,31,SAC,73,73,29.3,4.3,9.0,.478,1.8,4.7,.392,2.5,4.3,.572,.581,1.8,2.3,.807,0.8,2.2,3.0,1.2,0.6,0.2,0.7,1.3,12.3,2024,11.7,.614,.524,.253,3.0,8.5,5.7,5.3,1.1,0.5,6.8,15.6,2.7,1.2,3.9,.088,-0.7,-1.4,-2.1,-0.1
224,Harry Giles,C,25,LAL,22,0,4.5,1.0,2.3,.460,0.1,0.6,.214,0.9,1.6,.556,.490,0.3,0.6,.538,0.5,0.7,1.3,0.3,0.1,0.1,0.3,0.7,2.5,2024,14.8,.503,.280,.260,13.0,18.4,15.7,10.6,1.0,2.8,9.7,27.3,-0.1,0.1,0.0,.023,-2.8,-2.1,-4.9,-0.1
282,Haywood Highsmith,PF,27,MIA,57,26,19.7,2.2,4.7,.459,1.1,2.8,.406,1.0,1.9,.536,.580,0.4,0.6,.697,0.8,2.0,2.8,1.0,0.8,0.4,0.5,1.7,5.9,2024,11.0,.590,.593,.122,4.7,11.4,8.0,7.2,2.0,2.2,9.0,12.4,0.9,1.6,2.5,.106,-1.8,1.2,-0.6,0.4
170,Henri Drell,SF,23,CHI,1,0,3.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2024,44.5,.500,.500,.000,36.6,0.0,18.6,100.0,0.0,0.0,0.0,29.3,0.0,0.0,0.0,.476,23.0,2.3,25.3,0.0
335,Herbert Jones,SF,25,NOP,67,67,29.8,3.9,7.7,.508,1.5,3.5,.422,2.4,4.1,.581,.605,1.8,2.1,.857,1.0,2.5,3.6,2.6,1.3,0.9,1.2,3.0,11.1,2024,13.7,.645,.461,.272,3.8,9.3,6.6,11.4,2.2,3.0,12.3,14.2,3.1,2.8,5.9,.141,-0.5,1.7,1.2,1.6
643,Hunter Tyson,PF,23,DEN,13,0,2.8,0.5,1.2,.375,0.2,0.8,.273,0.2,0.4,.600,.469,0.0,0.0,,0.1,0.6,0.7,0.2,0.0,0.0,0.2,0.7,1.2,2024,3.9,.469,.688,.000,3.1,23.5,13.5,7.2,0.0,0.0,11.1,21.2,-0.1,0.0,0.0,-0.031,-8.0,-2.8,-10.8,-0.1
23,Ibou Badji,C,21,POR,21,1,10.3,0.6,1.0,.650,0.0,0.0,,0.6,1.0,.650,.650,0.3,0.6,.500,1.0,1.5,2.4,0.6,0.1,1.0,0.7,2.1,1.5,2024,8.5,.633,.000,.600,9.9,17.2,13.4,8.0,0.5,8.4,35.6,7.8,0.0,0.2,0.2,.051,-7.4,1.9,-5.5,-0.2
533,Immanuel Quickley,PG-SG,24,TOR,62,32,28.9,5.6,13.0,.432,2.5,6.2,.396,3.1,6.7,.465,.527,2.7,3.3,.829,0.2,3.4,3.6,4.6,0.7,0.1,1.4,1.6,16.4,2024,16.0,.569,.481,.255,0.9,13.2,7.0,23.4,1.2,0.4,8.7,23.4,2.9,1.2,4.1,.110,1.7,-0.9,0.8,1.3
490,Isaac Okoro,SF,23,CLE,65,41,27.4,3.4,7.1,.486,1.2,3.2,.388,2.2,3.9,.565,.573,1.3,1.9,.680,1.0,2.0,3.0,1.9,0.8,0.5,0.8,2.1,9.4,2024,11.3,.594,.447,.265,4.2,8.0,6.1,9.6,1.5,1.7,9.5,14.1,1.8,2.1,4.0,.106,-1.9,0.9,-1.0,0.4
268,Isaiah Hartenstein,C,25,NYK,67,41,24.9,3.0,4.7,.631,0.0,0.0,.333,3.0,4.7,.634,.632,1.4,1.9,.731,3.2,5.1,8.3,2.3,1.1,1.1,1.2,2.8,7.4,2024,18.4,.663,.009,.410,14.4,22.9,18.7,12.4,2.2,4.3,17.2,11.7,3.8,3.2,7.0,.202,0.2,2.7,3.0,2.1
310,Isaiah Jackson,C,22,IND,54,3,13.1,2.7,4.1,.667,0.0,0.1,.000,2.7,4.0,.679,.667,1.3,1.8,.704,1.6,2.6,4.1,0.9,0.6,1.0,0.7,2.4,6.7,2024,21.7,.689,.018,.447,13.4,22.3,17.9,8.7,2.3,6.0,12.7,17.8,2.0,1.0,3.0,.203,0.2,1.5,1.7,0.7
324,Isaiah Joe,SG,24,OKC,69,0,18.4,2.9,6.3,.456,1.9,4.6,.417,1.0,1.7,.559,.608,0.6,0.6,.864,0.4,1.9,2.2,1.2,0.6,0.3,0.6,1.2,8.2,2024,13.1,.624,.727,.102,2.4,10.9,6.8,8.3,1.4,1.3,8.1,16.8,1.6,1.3,2.9,.111,0.9,-0.4,0.5,0.8
372,Isaiah Livers,PF,25,DET,23,6,20.4,1.7,5.0,.345,1.0,3.3,.286,0.8,1.7,.462,.440,0.5,0.8,.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5.0,2024,5.1,.460,.664,.155,3.5,8.0,5.7,6.9,1.3,0.9,11.4,12.7,-0.3,0.2,-0.1,-0.014,-5.0,-1.4,-6.4,-0.5
446,Isaiah Mobley,PF,24,CLE,6,0,8.5,0.8,2.2,.385,0.3,1.2,.286,0.5,1.0,.500,.462,0.0,0.0,,0.0,1.0,1.0,1.0,0.2,0.0,0.2,0.8,2.0,2024,6.2,.462,.538,.000,0.0,12.9,6.6,15.4,1.0,0.0,7.1,12.1,0.0,0.1,0.1,.049,-4.8,-1.0,-5.8,0.0
609,Isaiah Stewart,PF,22,DET,46,45,30.9,4.0,8.3,.487,1.5,3.8,.383,2.6,4.5,.575,.575,1.4,1.8,.753,1.6,5.0,6.6,1.6,0.4,0.8,1.4,2.2,10.9,2024,11.2,.600,.458,.223,5.7,18.4,11.9,7.1,0.6,2.3,13.6,14.5,0.9,0.8,1.7,.056,-1.6,-0.7,-2.2,-0.1
623,Isaiah Thomas,PG,34,PHO,2,0,4.5,1.0,2.5,.400,0.5,1.0,.500,0.5,1.5,.333,.500,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,2024,14.7,.500,.400,.000,0.0,0.0,0.0,33.5,0.0,0.0,0.0,24.0,0.0,0.0,0.0,.097,2.8,-4.8,-1.9,0.0
596,Ish Smith,PG,35,CHO,43,5,17.2,1.5,3.7,.418,0.1,0.2,.500,1.4,3.5,.413,.430,0.1,0.1,.750,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1,3.2,2024,6.8,.435,.051,.025,1.6,10.2,5.7,26.4,1.1,0.5,22.7,12.3,-0.6,0.2,-0.4,-0.023,-5.7,-1.3,-7.0,-0.9
656,Ish Wainright,SF,29,PHO,10,0,6.1,0.7,2.4,.292,0.7,2.0,.350,0.0,0.4,.000,.438,0.2,0.2,1.000,0.3,1.1,1.4,0.1,0.4,0.1,0.2,0.8,2.3,2024,9.1,.462,.833,.083,5.9,21.2,13.0,2.0,3.2,1.5,7.4,18.9,-0.1,0.1,0.0,.027,-2.9,0.5,-2.4,0.0
716,Ivica Zubac,C,26,LAC,61,61,26.4,4.9,7.4,.656,0.0,0.0,,4.9,7.4,.656,.656,1.7,2.4,.697,2.9,6.1,9.0,1.4,0.3,1.2,1.2,2.7,11.4,2024,19.0,.673,.000,.322,13.2,25.6,19.6,7.4,0.6,4.1,12.1,16.0,4.0,1.9,5.9,.176,0.6,-0.2,0.4,1.0
88,Izaiah Brockington,PG,24,NOP,1,0,3.0,2.0,5.0,.400,0.0,1.0,.000,2.0,4.0,.500,.400,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2024,26.6,.400,.200,.000,37.5,36.3,36.9,0.0,0.0,0.0,0.0,72.3,0.0,0.0,0.0,-0.171,-9.1,-8.6,-17.7,0.0
152,JD Davison,SG,21,BOS,6,0,1.8,0.3,0.5,.667,0.3,0.5,.667,0.0,0.0,,1.000,0.3,0.3,1.000,0.2,0.3,0.5,0.2,0.0,0.0,0.0,0.2,1.3,2024,32.1,1.031,1.000,.667,10.2,18.8,14.7,12.6,0.0,0.0,0.0,15.3,0.1,0.0,0.1,.475,11.7,2.4,14.1,0.0
628,JT Thor,PF,21,CHO,55,1,11.9,1.1,2.8,.379,0.4,1.2,.324,0.7,1.5,.424,.451,0.1,0.2,.538,0.7,1.5,2.2,0.4,0.1,0.4,0.2,0.9,2.6,2024,7.1,.457,.444,.085,6.4,14.3,10.2,4.5,0.6,3.0,7.6,11.6,-0.2,0.3,0.1,.005,-4.4,-1.2,-5.6,-0.6
452,Ja Morant,PG,24,MEM,9,9,35.3,8.9,18.9,.471,1.6,5.7,.275,7.3,13.2,.555,.512,5.8,7.1,.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,25.1,2024,20.5,.570,.300,.376,2.0,15.8,8.6,42.4,1.1,1.5,12.0,30.5,0.5,0.3,0.8,.122,2.7,0.4,3.1,0.4
417,JaVale McGee,C,36,SAC,43,0,7.6,1.7,2.9,.605,0.0,0.1,.200,1.7,2.8,.622,.609,0.6,1.0,.581,0.9,1.8,2.7,0.3,0.3,0.5,0.7,1.0,4.1,2024,18.7,.616,.040,.347,13.2,27.5,20.2,6.9,1.9,5.6,18.3,22.9,0.1,0.6,0.7,.098,-2.0,0.5,-1.5,0.0
597,Jabari Smith Jr.,PF,20,HOU,67,67,31.6,4.8,10.7,.449,1.7,4.8,.358,3.1,5.9,.523,.529,2.0,2.4,.816,1.9,6.4,8.3,1.4,0.7,0.7,1.2,2.7,13.3,2024,13.4,.565,.446,.227,6.4,21.8,14.1,6.4,1.1,2.1,9.4,17.5,1.7,3.1,4.9,.110,-1.0,0.3,-0.6,0.7
659,Jabari Walker,SF,21,POR,65,16,22.6,3.2,6.6,.475,0.5,1.8,.280,2.6,4.8,.548,.513,1.7,2.2,.755,1.9,4.4,6.4,0.9,0.6,0.3,0.9,2.4,8.5,2024,13.0,.557,.273,.331,9.2,23.7,16.0,6.1,1.3,1.3,10.7,16.1,1.2,1.3,2.5,.082,-2.5,-0.9,-3.5,-0.5
230,Jacob Gilyard,PG,25,BRK,39,14,17.2,1.5,3.7,.411,1.3,3.1,.418,0.2,0.6,.375,.586,0.1,0.1,1.000,0.2,0.9,1.1,3.4,0.7,0.1,0.7,0.9,4.4,2024,11.3,.589,.836,.014,1.3,6.0,3.5,28.3,2.0,0.7,16.5,11.3,0.8,0.6,1.4,.099,-1.7,0.3,-1.4,0.1
633,Jacob Toppin,SF,23,NYK,9,0,4.2,0.6,1.0,.556,0.1,0.4,.250,0.4,0.6,.800,.611,0.2,0.2,1.000,0.3,0.4,0.8,0.3,0.0,0.1,0.1,0.3,1.4,2024,14.3,.658,.444,.222,8.8,11.8,10.3,10.9,0.0,2.5,9.2,12.3,0.1,0.0,0.1,.164,0.6,-1.2,-0.6,0.0
260,Jaden Hardy,SG,21,DAL,64,6,13.5,2.7,6.6,.410,1.2,3.2,.366,1.6,3.5,.450,.498,0.8,1.0,.766,0.3,1.4,1.7,1.5,0.3,0.1,0.8,1.0,7.4,2024,11.8,.521,.476,.151,2.0,11.5,6.8,16.1,1.0,0.4,9.6,24.7,-0.1,0.5,0.4,.022,-1.5,-2.3,-3.8,-0.4
307,Jaden Ivey,SG,21,DET,69,53,28.6,5.3,12.4,.431,1.5,4.6,.323,3.8,7.7,.496,.492,3.0,4.0,.761,1.2,2.3,3.5,3.7,0.8,0.6,2.5,2.8,15.2,2024,12.4,.538,.374,.324,4.6,9.2,6.8,19.4,1.3,1.7,14.9,24.6,-0.4,0.9,0.6,.014,-1.5,-1.5,-3.1,-0.5
412,Jaden McDaniels,SF,23,MIN,63,62,29.3,4.4,8.9,.495,1.3,3.6,.351,3.1,5.3,.592,.565,0.8,1.1,.714,0.8,2.3,3.1,1.3,0.9,0.6,1.2,3.1,10.8,2024,9.7,.578,.403,.125,3.3,8.5,6.0,6.5,1.5,1.7,11.4,15.9,0.4,2.8,3.2,.083,-3.1,0.8,-2.3,-0.1
603,Jaden Springer,SG-PG,21,BOS,45,1,10.0,1.2,3.0,.382,0.2,1.0,.182,1.0,2.0,.478,.412,0.7,0.8,.833,0.7,0.8,1.5,0.9,0.6,0.3,0.7,1.3,3.2,2024,9.8,.468,.324,.265,8.0,9.0,8.5,12.0,3.0,2.8,16.5,17.5,-0.3,0.6,0.3,.030,-5.0,0.7,-4.3,-0.3
142,Jae Crowder,PF,33,MIL,42,23,23.5,2.4,5.3,.448,1.2,3.3,.372,1.2,2.0,.570,.563,0.4,0.6,.692,0.5,2.7,3.3,1.4,0.8,0.2,0.4,1.7,6.4,2024,9.4,.574,.614,.117,2.5,12.4,7.6,7.5,1.7,0.6,7.1,11.0,0.7,0.9,1.6,.079,-2.3,0.5,-1.8,0.0
614,Jae'Sean Tate,SF,28,HOU,63,9,16.2,1.7,3.6,.471,0.4,1.2,.299,1.3,2.4,.560,.522,0.4,0.6,.667,1.0,2.1,3.1,1.0,0.7,0.2,0.6,2.2,4.2,2024,9.4,.539,.339,.172,6.2,14.1,10.1,8.3,2.0,1.4,12.5,11.6,0.5,1.4,1.9,.089,-3.7,1.6,-2.1,0.0
537,Jahmi'us Ramsey,SG,22,TOR,7,1,17.3,2.6,5.9,.439,0.9,3.1,.273,1.7,2.7,.632,.512,0.7,0.9,.833,0.6,2.6,3.1,1.1,1.0,0.0,1.0,1.4,6.7,2024,10.6,.538,.537,.146,3.6,16.7,10.0,9.1,2.8,0.0,13.8,17.9,-0.1,0.1,0.1,.023,-3.9,-0.5,-4.5,-0.1
317,Jaime Jaquez Jr.,SF,22,MIA,66,20,29.2,4.7,9.7,.487,0.9,2.8,.311,3.9,7.0,.557,.531,1.9,2.4,.803,1.2,2.8,3.9,2.6,1.1,0.2,1.5,2.3,12.3,2024,12.6,.568,.285,.244,4.4,10.9,7.6,13.5,1.8,0.7,12.1,18.8,1.0,2.4,3.4,.085,-2.4,0.2,-2.2,-0.1
356,Jake LaRavia,PF,22,MEM,28,1,20.3,2.8,7.6,.363,1.1,3.9,.296,1.6,3.7,.433,.439,2.2,2.8,.782,1.5,2.0,3.6,1.4,0.8,0.3,0.9,1.9,8.8,2024,11.8,.501,.509,.368,8.0,11.4,9.6,10.7,1.9,1.3,9.2,20.5,0.0,0.6,0.6,.053,-2.4,-0.9,-3.2,-0.2
512,Jakob Poeltl,C,28,TOR,50,50,26.4,5.0,7.6,.656,0.0,0.0,,5.0,7.6,.656,.656,1.2,2.1,.551,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3.0,11.1,2024,18.9,.653,.000,.283,11.9,24.1,17.9,13.9,1.3,5.0,15.3,16.3,2.3,1.5,3.9,.141,-0.4,1.1,0.7,0.9
104,Jalen Brunson,PG,27,NYK,68,68,35.1,10.0,20.9,.479,2.7,6.8,.401,7.3,14.2,.516,.543,5.1,6.1,.847,0.6,3.0,3.6,6.5,0.9,0.2,2.4,1.9,27.9,2024,22.8,.591,.323,.290,1.8,9.7,5.7,32.4,1.3,0.5,9.2,31.8,7.3,2.3,9.6,.193,5.9,-0.3,5.6,4.6
143,Jalen Crutcher,PG,24,NOP,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,-12.6,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,-0.328,-18.3,-7.7,-26.1,0.0
175,Jalen Duren,C,20,DET,56,55,29.7,5.8,9.3,.629,0.0,0.1,.000,5.8,9.2,.633,.629,2.3,2.9,.778,3.3,8.7,12.0,2.5,0.5,0.8,2.1,3.3,13.9,2024,18.9,.660,.006,.313,12.2,33.2,22.5,12.8,0.8,2.4,16.8,18.1,3.0,1.7,4.6,.134,0.0,0.2,0.2,0.9
244,Jalen Green,SG,21,HOU,73,73,31.7,7.0,16.3,.428,2.5,7.3,.341,4.5,9.1,.498,.504,3.6,4.5,.798,0.5,4.6,5.1,3.4,0.8,0.4,2.2,1.4,20.0,2024,15.2,.547,.445,.273,1.7,15.6,8.6,16.9,1.2,1.0,10.9,27.5,0.6,2.8,3.4,.070,0.7,-0.6,0.1,1.2
292,Jalen Hood-Schifino,SG,20,LAL,21,0,5.2,0.5,2.1,.222,0.1,0.7,.133,0.4,1.4,.267,.244,0.6,1.0,.600,0.1,0.5,0.6,0.4,0.1,0.1,0.4,0.6,1.6,2024,-1.5,.316,.333,.444,2.1,10.6,6.6,9.1,1.3,1.6,14.3,24.9,-0.6,0.1,-0.5,-0.225,-12.4,-3.7,-16.1,-0.4
326,Jalen Johnson,SF,22,ATL,51,48,34.0,6.4,12.5,.513,1.3,3.6,.353,5.2,8.9,.578,.564,2.0,2.7,.725,1.3,7.3,8.6,3.5,1.1,0.9,1.7,2.5,16.1,2024,16.2,.587,.288,.216,4.0,24.3,13.8,14.7,1.6,2.4,11.2,18.9,2.1,1.6,3.6,.101,0.4,0.7,1.1,1.4
413,Jalen McDaniels,SF,26,TOR,42,0,9.7,1.2,3.4,.347,0.3,1.5,.172,0.9,1.9,.488,.385,0.4,0.6,.667,0.3,1.1,1.4,0.6,0.4,0.1,0.6,1.0,3.0,2024,4.7,.411,.444,.167,3.4,13.0,8.1,8.1,2.0,1.1,13.9,18.9,-1.0,0.3,-0.7,-0.082,-7.7,-1.6,-9.3,-0.7
508,Jalen Pickett,SG,24,DEN,23,0,4.9,0.5,1.3,.387,0.3,1.0,.318,0.2,0.4,.556,.500,0.1,0.2,.750,0.0,0.5,0.5,0.7,0.1,0.0,0.3,0.6,1.5,2024,6.9,.519,.710,.129,1.0,10.6,5.9,18.7,1.3,0.0,19.6,15.8,0.0,0.1,0.1,.022,-4.3,-1.0,-5.3,-0.1
591,Jalen Slawson,SF,24,SAC,9,0,3.4,0.3,0.6,.600,0.0,0.2,.000,0.3,0.3,1.000,.600,0.0,0.0,,0.1,0.7,0.8,0.2,0.1,0.1,0.2,0.8,0.7,2024,6.1,.600,.400,.000,3.5,22.3,12.7,8.0,1.6,2.9,28.6,9.6,0.0,0.0,0.0,.039,-8.1,1.3,-6.8,0.0
598,Jalen Smith,C,23,IND,54,13,17.4,3.9,6.4,.599,1.1,2.4,.435,2.8,4.0,.699,.682,1.2,1.7,.681,1.7,3.8,5.5,1.0,0.3,0.6,0.7,2.1,9.9,2024,20.4,.691,.378,.271,11.2,24.7,17.9,7.8,0.7,2.9,9.1,19.0,2.7,0.8,3.5,.179,3.0,-0.7,2.3,1.0
612,Jalen Suggs,SG,22,ORL,66,66,26.8,4.4,9.6,.460,2.1,5.2,.396,2.3,4.4,.536,.568,1.4,1.9,.754,0.7,2.5,3.1,2.7,1.4,0.6,1.8,2.7,12.4,2024,13.5,.591,.545,.198,2.8,10.9,6.8,14.7,2.7,2.0,15.0,20.0,0.8,2.9,3.7,.099,-1.1,1.6,0.5,1.1
689,Jalen Williams,PF,22,OKC,66,66,31.7,7.6,14.2,.536,1.5,3.5,.434,6.1,10.7,.569,.589,2.6,3.2,.825,0.6,3.4,4.0,4.5,1.1,0.6,1.8,2.6,19.3,2024,18.9,.620,.244,.226,2.1,11.6,7.0,21.0,1.7,1.8,10.3,23.8,4.2,2.5,6.7,.154,1.9,0.2,2.0,2.1
700,Jalen Wilson,PF,23,BRK,35,2,13.9,1.6,3.7,.427,0.5,1.5,.340,1.1,2.2,.487,.496,0.8,0.9,.906,1.0,1.6,2.6,1.1,0.2,0.0,0.4,1.1,4.5,2024,11.0,.548,.405,.244,7.8,13.0,10.3,10.3,0.7,0.2,8.8,14.1,0.6,0.3,0.9,.084,-1.7,-1.3,-3.0,-0.1
113,Jamal Cain,PF,24,MIA,21,1,12.0,1.6,3.7,.423,0.5,1.4,.333,1.1,2.3,.479,.487,0.9,1.1,.783,0.7,1.0,1.7,0.5,0.5,0.2,0.4,1.0,4.5,2024,11.2,.533,.385,.295,6.6,9.1,7.8,5.7,2.0,1.9,8.3,16.9,0.1,0.3,0.4,.081,-2.7,0.2,-2.5,0.0
462,Jamal Murray,PG,26,DEN,54,54,32.1,7.9,16.7,.475,2.4,5.6,.419,5.6,11.1,.503,.545,2.7,3.2,.855,0.7,3.4,4.1,6.7,1.0,0.6,2.1,1.8,20.9,2024,20.0,.578,.336,.191,2.5,11.5,7.1,31.3,1.5,1.6,10.4,27.5,3.3,1.9,5.1,.142,4.0,-0.5,3.5,2.4
82,Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7,2024,-4.8,.238,.381,.000,3.8,16.8,9.9,19.3,0.0,0.0,27.6,21.7,-0.4,0.0,-0.4,-0.301,-13.0,-4.9,-17.9,-0.2
81,James Bouknight,SG,23,CHO,14,0,5.8,1.3,2.9,.439,0.9,2.1,.433,0.4,0.8,.455,.598,0.1,0.1,.500,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,3.6,2024,15.9,.597,.732,.049,1.3,11.5,6.2,12.2,0.6,1.2,4.6,23.8,0.1,0.0,0.1,.066,4.3,-2.2,2.1,0.1
259,James Harden,PG,34,LAC,66,66,34.8,5.0,11.6,.436,2.7,6.8,.391,2.4,4.8,.500,.551,4.2,4.8,.880,0.5,4.6,5.1,8.5,1.1,0.9,2.6,1.9,17.0,2024,18.9,.620,.589,.415,1.6,14.7,8.4,33.2,1.6,2.2,15.9,20.6,5.8,2.2,8.0,.167,3.9,0.3,4.3,3.6
327,James Johnson,PF,36,IND,8,0,5.0,0.4,1.1,.333,0.0,0.3,.000,0.4,0.9,.429,.333,0.3,0.3,1.000,0.1,0.4,0.5,0.9,0.6,0.1,0.5,0.9,1.0,2024,7.9,.405,.222,.222,2.8,8.5,5.7,19.5,5.9,2.0,28.8,14.6,-0.1,0.1,0.0,-0.010,-6.7,3.2,-3.5,0.0
705,James Wiseman,C,22,DET,55,3,16.1,2.9,4.6,.639,0.0,0.0,.000,2.9,4.5,.644,.639,1.1,1.5,.706,1.7,3.3,5.0,0.8,0.2,0.6,1.0,2.2,6.9,2024,15.5,.660,.008,.337,11.4,23.3,17.2,7.6,0.5,3.2,16.5,16.6,1.2,0.7,1.9,.102,-2.1,-0.8,-2.9,-0.2
660,Jarace Walker,PF,20,IND,30,0,10.5,1.3,3.4,.396,0.7,1.7,.385,0.7,1.6,.408,.495,0.3,0.3,.889,0.4,1.5,1.9,1.2,0.5,0.4,0.5,0.9,3.6,2024,11.4,.514,.515,.089,3.9,16.2,10.1,13.9,2.1,2.8,12.5,16.0,0.0,0.3,0.3,.052,-0.7,0.8,0.1,0.2
111,Jared Butler,SG,23,WAS,32,0,12.0,1.9,4.2,.466,0.4,1.7,.264,1.5,2.5,.600,.519,0.6,0.7,.864,0.2,0.9,1.1,2.7,0.6,0.2,1.2,1.2,4.9,2024,12.1,.550,.398,.165,1.6,8.6,5.0,30.3,2.3,1.1,20.6,19.6,-0.1,0.2,0.1,.019,-2.6,-0.8,-3.4,-0.1
544,Jared Rhoden,SG,24,DET,10,0,9.9,1.3,2.5,.520,0.4,1.1,.364,0.9,1.4,.643,.600,0.2,0.2,1.000,0.2,1.4,1.6,0.7,0.1,0.4,0.6,1.2,3.2,2024,9.0,.618,.440,.080,2.2,16.0,9.0,9.8,0.5,3.5,18.8,13.7,0.0,0.1,0.1,.032,-3.2,0.1,-3.1,0.0
311,Jaren Jackson Jr.,C,24,MEM,63,63,32.2,7.7,17.5,.442,1.8,5.6,.320,6.0,11.9,.499,.493,5.0,6.3,.805,1.3,4.3,5.6,2.3,1.2,1.6,2.4,3.6,22.3,2024,17.0,.551,.320,.358,4.3,15.1,9.5,13.1,1.8,4.7,10.8,30.4,-0.1,2.7,2.6,.061,-0.3,0.4,0.1,1.1
646,Jarred Vanderbilt,PF,24,LAL,29,6,20.0,2.0,3.9,.518,0.3,0.9,.296,1.8,3.0,.586,.553,0.8,1.2,.667,1.4,3.3,4.8,1.2,1.2,0.2,1.0,1.5,5.2,2024,11.6,.578,.237,.316,8.2,17.6,13.2,7.8,3.0,0.7,17.7,11.8,0.3,0.8,1.1,.088,-3.0,1.3,-1.7,0.0
10,Jarrett Allen,C,25,CLE,69,69,31.6,6.6,10.4,.631,0.0,0.1,.000,6.6,10.4,.635,.631,3.1,4.2,.744,3.2,7.5,10.7,2.7,0.7,1.1,1.6,2.0,16.3,2024,21.7,.663,.007,.401,11.5,26.1,18.9,13.0,1.1,3.1,11.6,19.4,6.0,3.8,9.7,.214,2.0,1.2,3.1,2.8
526,Jason Preston,PG,24,UTA,4,0,7.5,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.8,1.0,1.8,1.8,0.3,0.0,0.5,0.3,1.0,2024,9.6,.333,.000,.000,11.1,14.5,12.8,28.9,1.6,0.0,25.0,11.1,0.0,0.0,0.0,.010,-2.6,-0.7,-3.3,0.0
202,Javon Freeman-Liberty,PG,24,TOR,13,3,15.8,2.0,4.6,.433,0.2,1.6,.143,1.8,3.0,.590,.458,1.4,1.5,.900,0.5,2.0,2.5,1.5,0.3,0.2,0.8,1.2,5.6,2024,9.7,.531,.350,.333,3.7,14.3,8.9,13.0,0.9,0.9,13.8,16.7,0.0,0.1,0.1,.026,-4.3,-2.2,-6.5,-0.2
245,Javonte Green,SF,30,CHI,2,0,17.5,2.5,3.5,.714,1.0,1.5,.667,1.5,2.0,.750,.857,0.0,0.0,,0.0,2.5,2.5,0.5,1.0,0.5,1.0,1.5,6.0,2024,13.3,.857,.429,.000,0.0,16.2,8.0,4.0,2.8,2.9,22.2,11.3,0.0,0.0,0.1,.104,-1.4,2.5,1.1,0.0
592,Javonte Smart,PG,24,PHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.001,-6.2,-2.2,-8.4,0.0
